sample_id,adm1_name,reference_date,quarter,acquisition_datetime,stac_item_id,scene_cloud_cover,center_lat,center_lon,patch_meters,patch_pixels,valid_fraction,ndvi_mean,ndvi_std,shard_file,array_index,source_collection,source_platform
lampung_2024_q4,LAMPUNG,2024-10-01,4,2024-10-18T03:07:31.024000+00:00,S2A_MSIL2A_20241018T030731_R075_T48MWV_20241018T064652,5.00479,-5.27,105.29,6400.0,64,1.0,0.43677014112472534,0.13323526084423065,chips/sentinel2_quarterly_2024.npz,75,sentinel-2-l2a,Microsoft Planetary Computer STAC
maluku_2024_q1,MALUKU,2024-01-01,1,2024-02-21T01:45:41.024000+00:00,S2A_MSIL2A_20240221T014541_R074_T52MFV_20240221T052759,1.450931,-4.66,130.465,6400.0,64,0.977294921875,-0.017585569992661476,0.005558889824897051,chips/sentinel2_quarterly_2024.npz,76,sentinel-2-l2a,Microsoft Planetary Computer STAC
maluku_2024_q2,MALUKU,2024-04-01,2,2024-05-21T01:45:51.024000+00:00,S2A_MSIL2A_20240521T014551_R074_T52MFV_20240521T071932,9.452333,-4.66,130.465,6400.0,64,0.843505859375,-0.01470832247287035,0.012589245103299618,chips/sentinel2_quarterly_2024.npz,77,sentinel-2-l2a,Microsoft Planetary Computer STAC
maluku_2024_q3,MALUKU,2024-07-01,3,2024-09-23T01:45:39.024000+00:00,S2B_MSIL2A_20240923T014539_R074_T52MFV_20240923T052917,14.126636,-4.66,130.465,6400.0,64,0.19873046875,-0.012264039367437363,0.005434156395494938,chips/sentinel2_quarterly_2024.npz,78,sentinel-2-l2a,Microsoft Planetary Computer STAC
maluku_2024_q4,MALUKU,2024-10-01,4,2024-12-12T01:45:49.024000+00:00,S2B_MSIL2A_20241212T014549_R074_T52MFV_20241212T050856,18.870427,-4.66,130.465,6400.0,64,0.926513671875,-0.009130030870437622,0.019969137385487556,chips/sentinel2_quarterly_2024.npz,79,sentinel-2-l2a,Microsoft Planetary Computer STAC
maluku_utara_2024_q1,MALUKU UTARA,2024-01-01,1,2024-02-24T01:56:21.024000+00:00,S2A_MSIL2A_20240224T015621_R117_T52NCF_20240224T062325,4.897037,0.78,127.385,6400.0,64,0.9990234375,0.13422541320323944,0.21752424538135529,chips/sentinel2_quarterly_2024.npz,80,sentinel-2-l2a,Microsoft Planetary Computer STAC
maluku_utara_2024_q2,MALUKU UTARA,2024-04-01,2,2024-05-29T01:56:19.024000+00:00,S2B_MSIL2A_20240529T015619_R117_T52NCF_20240529T064316,20.532437,0.78,127.385,6400.0,64,0.999755859375,0.13760218024253845,0.21500547230243683,chips/sentinel2_quarterly_2024.npz,81,sentinel-2-l2a,Microsoft Planetary Computer STAC
maluku_utara_2024_q3,MALUKU UTARA,2024-07-01,3,2024-09-26T01:53:59.024000+00:00,S2B_MSIL2A_20240926T015359_R117_T52NCF_20240926T034203,24.596892,0.78,127.385,6400.0,64,0.930908203125,0.10094630718231201,0.20461055636405945,chips/sentinel2_quarterly_2024.npz,82,sentinel-2-l2a,Microsoft Planetary Computer STAC
maluku_utara_2024_q4,MALUKU UTARA,2024-10-01,4,2024-10-26T01:54:09.024000+00:00,S2B_MSIL2A_20241026T015409_R117_T52NCF_20241026T034152,16.383745,0.78,127.385,6400.0,64,0.91064453125,0.10140933096408844,0.2054937183856964,chips/sentinel2_quarterly_2024.npz,83,sentinel-2-l2a,Microsoft Planetary Computer STAC
nusa_tenggara_barat_2024_q1,NUSA TENGGARA BARAT,2024-01-01,1,2024-02-16T02:17:51.024000+00:00,S2A_MSIL2A_20240216T021751_R003_T50LMR_20240216T061207,24.053499,-8.57,116.53,6400.0,64,0.569091796875,0.3937601149082184,0.14670433104038239,chips/sentinel2_quarterly_2024.npz,84,sentinel-2-l2a,Microsoft Planetary Computer STAC
nusa_tenggara_barat_2024_q2,NUSA TENGGARA BARAT,2024-04-01,2,2024-05-16T02:16:11.024000+00:00,S2A_MSIL2A_20240516T021611_R003_T50LMR_20240516T100931,7.440992,-8.57,116.53,6400.0,64,0.916259765625,0.35509371757507324,0.13158152997493744,chips/sentinel2_quarterly_2024.npz,85,sentinel-2-l2a,Microsoft Planetary Computer STAC
nusa_tenggara_barat_2024_q3,NUSA TENGGARA BARAT,2024-07-01,3,2024-07-15T02:16:01.024000+00:00,S2A_MSIL2A_20240715T021601_R003_T50LMR_20240715T082954,4.950187,-8.57,116.53,6400.0,64,0.675048828125,0.37181058526039124,0.13385999202728271,chips/sentinel2_quarterly_2024.npz,86,sentinel-2-l2a,Microsoft Planetary Computer STAC
nusa_tenggara_barat_2024_q4,NUSA TENGGARA BARAT,2024-10-01,4,2024-10-13T02:16:31.024000+00:00,S2A_MSIL2A_20241013T021631_R003_T50LMR_20241013T051958,3.96002,-8.57,116.53,6400.0,64,0.998291015625,0.3204466700553894,0.1277272254228592,chips/sentinel2_quarterly_2024.npz,87,sentinel-2-l2a,Microsoft Planetary Computer STAC
nusa_tenggara_timur_2024_q1,NUSA TENGGARA TIMUR,2024-01-01,1,2024-03-16T02:13:39.024000+00:00,S2B_MSIL2A_20240316T021339_R060_T51LVK_20240316T052030,0.174717,-9.655,122.21,6400.0,64,1.0,-0.01145726814866066,0.022790739312767982,chips/sentinel2_quarterly_2024.npz,88,sentinel-2-l2a,Microsoft Planetary Computer STAC
nusa_tenggara_timur_2024_q2,NUSA TENGGARA TIMUR,2024-04-01,2,2024-06-11T02:04:49.024000+00:00,S2B_MSIL2A_20240611T020449_R017_T51LVK_20240611T055609,0.0,-9.655,122.21,6400.0,64,1.0,-0.012177668511867523,0.001815571915358305,chips/sentinel2_quarterly_2024.npz,89,sentinel-2-l2a,Microsoft Planetary Computer STAC
